Ромовый дневник,The Rum Diary,2010,7,28.10.11 11:43
Побег из тюрьмы: Финальный побег,Prison Break: The Final Break,2009,5,04.11.11 20:47
Общество мертвых поэтов,Dead Poets Society,1989,8,04.11.11 20:48
Бабло,,2011,3,11.11.11 14:56
The Beatles: Вечер трудного дня,A Hard Day's Night,1964,9,29.11.11 14:44
Ганди,Gandhi,1982,10,13.01.12 18:37
Король говорит!,The King's Speech,2010,8,26.01.12 21:25
Значит  война,This Means War,2012,4,27.02.12 12:28
Ненависть,La haine,1995,9,27.05.12 23:59
Намедни. Наша эра. 1961-2003,,1997 – 2003,10,03.06.12 12:48
Шерлок Холмс: Игра теней,Sherlock Holmes: A Game of Shadows,2011,8,03.06.12 12:50
12 стульев,,1971,8,05.06.12 15:39
Банды Нью-Йорка,Gangs of New York,2002,7,06.06.12 23:17
Тропы славы,Paths of Glory,1957,9,23.08.12 11:02
Человек-слон,The Elephant Man,1980,9,23.08.12 11:02
Письма отцу Якобу,Postia pappi Jaakobille,2009,10,02.09.12 21:20
Лос-Анджелес без карты,L.A. Without a Map,1998,10,02.09.12 21:25
Бразилия,Brazil,1985,10,06.09.12 23:00
Смысл жизни по Монти Пайтону,The Meaning of Life,1983,9,06.09.12 23:02
Житие Брайана по Монти Пайтон,Life of Brian,1979,10,06.09.12 23:03
Обитель зла: Возмездие,Resident Evil: Retribution,2012,3,15.09.12 0:39
Брюс Всемогущий,Bruce Almighty,2003,4,15.09.12 14:50
Американский папаша,American Dad!,2005 – ...,7,15.09.12 14:51
Диктатор,The Dictator,2012,5,22.09.12 13:18
Патруль,End of Watch,2012,7,22.09.12 13:18
Судья Дредд 3D,Dredd,2012,4,26.09.12 16:31
Петля времени,Looper,2012,7,05.10.12 17:17
Новый человек,Den nya manniskan,2007,10,23.10.12 17:09
Сталкер,,1979,9,24.10.12 13:15
Человек в футляре,,1939,9,24.10.12 18:18
Вечная мерзлота,Paha maa,2005,8,08.11.12 12:22
Служебный роман. Наше время,,2011,3,08.11.12 12:30
Знакомство с родителями,Meet the Parents,2000,6,08.11.12 12:31
Деньги,L' Argent,1983,6,09.11.12 14:25
Зеркало,,1974,10,09.11.12 16:24
Пятый элемент,The Fifth Element,1997,7,11.11.12 12:27
Облачный атлас,Cloud Atlas,2012,6,13.11.12 0:12
Однокурсники,Community,2009 – 2015,7,21.11.12 22:55
Темный рыцарь: Возрождение легенды,The Dark Knight Rises,2012,8,23.11.12 18:14
Гавр,Le Havre,2011,7,27.11.12 16:19
Зверофабрика,Animal Factory,2000,7,04.12.12 22:28
Загадочная история Бенджамина Баттона,The Curious Case of Benjamin Button,2008,8,06.12.12 21:08
007: Координаты «Скайфолл»,Skyfall,2012,8,28.02.13 0:10
Спускаясь с горы,Coming Down the Mountain,2007,9,14.05.13 16:48
Большие надежды,Great Expectations,2012,8,14.05.13 19:15
Великий Гэтсби,The Great Gatsby,2013,6,28.05.13 2:59
Одна неделя,One Week,1920,8,02.06.13 13:16
Даун Хаус,,2001,7,04.06.13 13:34
Сны наяву,Day Dreams,1922,7,10.06.13 21:55
Баффало 66,Buffalo '66,1997,10,16.07.13 16:54
Припаркованные,Parked,2010,8,22.07.13 20:12
Я очень возбужден,Los amantes pasajeros,2013,7,23.07.13 21:00
Мистер Одиночество,Mister Lonely,2007,9,31.07.13 2:27
Небо над Берлином,Der Himmel uber Berlin,1987,10,04.08.13 10:20
,Blood  Sweat + Vinyl: DIY in the 21st Century,2011,8,16.08.13 20:56
Гравитация,Gravity,2013,7,09.10.13 17:43
Осло  31-го августа,Oslo  31. august,2011,8,05.11.13 12:24
Город грехов,Sin City,2005,8,20.12.13 21:53
12 обезьян,Twelve Monkeys,1995,9,21.12.13 0:12
Фламандские натюрморты,De helaasheid der dingen,2009,8,27.12.13 12:59
В поисках Эрика,Looking for Eric,2009,7,28.12.13 12:18
ХБ,,2013,4,28.12.13 12:20
Блеф,Bluff storia di truffe e di imbroglioni,1976,8,28.12.13 13:38
Леон,Leon,1994,9,28.12.13 14:18
Крестный отец,The Godfather,1972,9,28.12.13 14:18
Американская история Х,American History X,1998,8,28.12.13 14:18
Остров проклятых,Shutter Island,2009,8,28.12.13 14:18
Крестный отец 2,The Godfather: Part II,1974,8,28.12.13 14:19
Брат,,1997,8,28.12.13 14:19
Город Бога,Cidade de Deus,2002,8,28.12.13 14:19
Славные парни,Goodfellas,1990,8,28.12.13 14:19
Бронкская история,A Bronx Tale,1993,8,28.12.13 14:19
Олдбой,Oldeuboi,2003,7,28.12.13 14:21
Дом. История путешествия,Home,2009,8,28.12.13 14:21
Игра престолов,Game of Thrones,2011 – ...,7,28.12.13 14:22
Джанго освобожденный,Django Unchained,2012,8,28.12.13 14:23
Во все тяжкие,Breaking Bad,2008 – 2013,7,28.12.13 14:24
Побег,Prison Break,2005 – 2009,7,28.12.13 14:24
Как я встретил вашу маму,How I Met Your Mother,2005 – 2014,6,28.12.13 14:24
Клиника,Scrubs,2001 – 2010,7,28.12.13 14:24
Остаться в живых,Lost,2004 – 2010,6,28.12.13 14:25
Квантовый скачок,Quantum Leap,1989 – 1993,8,28.12.13 14:25
Чертова служба в госпитале Мэш,M*A*S*H,1972 – 1983,7,28.12.13 14:25
Скорая помощь,ER,1994 – 2009,9,28.12.13 14:25
Пираты Карибского моря: На краю Света,Pirates of the Caribbean: At World's End,2007,7,28.12.13 14:28
Я – легенда,I Am Legend,2007,7,28.12.13 14:29
Люди в черном,Men in Black,1997,6,28.12.13 14:29
Шерлок,Sherlock,2010 – ...,7,02.01.14 14:18
Иван Грозный,,1944,8,03.01.14 13:25
Сибирский цирюльник,,1998,8,03.01.14 13:25
Цареубийца,,1991,8,03.01.14 13:25
Большой Лебовски,The Big Lebowski,1998,8,10.01.14 21:07
Воровка книг,The Book Thief,2013,5,17.01.14 1:52
Ограбление казино,Killing Them Softly,2012,7,20.01.14 18:00
Семь лет в Тибете,Seven Years in Tibet,1997,8,24.01.14 12:12
Любовь,Amour,2012,9,24.01.14 14:41
Отступники,The Departed,2006,8,07.02.14 11:34
Легенда о Каспаре Хаузере,La leggenda di Kaspar Hauser,2012,8,14.02.14 9:55
Грибы,Shrooms,2007,6,28.02.14 16:06
Далласский клуб покупателей,Dallas Buyers Club,2013,9,01.03.14 13:39
Бартон Финк,Barton Fink,1991,7,02.03.14 14:01
Девушка с татуировкой дракона,Man som hatar kvinnor,2009,8,23.03.14 18:22
Успеть до полуночи,Midnight Run,1988,8,24.03.14 21:32
Двадцать одно,21,2008,7,26.03.14 21:45
Простая история,The Straight Story,1999,9,29.03.14 11:40
Ной,Noah,2014,3,31.03.14 0:17
Король-рыбак,The Fisher King,1991,9,03.04.14 22:14
Неуместный человек,Den brysomme mannen,2006,8,04.04.14 17:12
Сыны Норвегии,Sonner av Norge,2011,7,04.04.14 17:20
Мюнхен,Munich,2005,7,05.04.14 10:06
Друзья,Friends,1994 – 2004,8,05.04.14 10:40
Казино,Casino,1995,9,05.04.14 10:40
Гриффины,Family Guy,1999 – ...,8,05.04.14 10:41
25-й час,25th Hour,2002,9,05.04.14 10:41
Пьяный мастер 2,Jui kuen II,1994,8,05.04.14 10:41
Пьяный мастер,Jui kuen,1978,9,05.04.14 10:41
Привидение,Ghost,1990,8,05.04.14 10:41
Медвежатник,The Score,2001,8,05.04.14 10:41
Неприкасаемые,The Untouchables,1987,8,05.04.14 10:41
Гангстер,American Gangster,2007,7,05.04.14 10:42
Игра,Play,2011,7,05.04.14 13:57
Происшествие в банке,Handelse vid bank,2010,5,05.04.14 13:58
Добровольно-принудительно,De ofrivilliga,2008,6,05.04.14 13:58
Безумие,The Wackness,2008,7,05.04.14 13:59
Последняя зима,L'hiver dernier,2011,6,05.04.14 14:00
Рокко и его братья,Rocco e i suoi fratelli,1960,-,05.04.14 14:23
Аризонская мечта,Arizona Dream,1991,9,05.04.14 14:24
Забриски Пойнт,Zabriskie Point,1970,-,05.04.14 14:25
Магнолия,Magnolia,1999,8,05.04.14 14:26
Я нажимаю на красную кнопку,I Touch a Red Button,2011,5,05.04.14 19:42
Внутри Льюина Дэвиса,Inside Llewyn Davis,2012,8,05.04.14 19:42
Елена,,2011,6,05.04.14 20:57
Полицейский  имя прилагательное,Politist  adjectiv,2009,6,05.04.14 21:16
Вавилон,Babel,2006,8,06.04.14 19:26
Гиганты,Les geants,2011,8,09.04.14 20:03
Комар,Sweet Mosquito,2012,8,10.04.14 10:19
